"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2023","774.440","764.740","774.940","764.620","","1.33%"
"10/17/2023","764.240","765.430","767.465","764.620","","-0.09%"
"10/16/2023","764.930","770.010","775.500","765.430","","-0.60%"
"10/13/2023","769.510","768.600","775.500","768.600","","0.20%"
"10/12/2023","768.000","759.990","769.050","759.990","","1.12%"
"10/11/2023","759.490","763.530","775.500","759.990","","-0.46%"
"10/10/2023","763.030","759.210","776.500","759.210","","0.57%"
"10/09/2023","758.710","772.040","772.040","759.210","","-1.66%"
"10/06/2023","771.540","762.040","772.040","762.040","","1.31%"
"10/05/2023","761.540","747.110","770.500","747.110","","2.00%"
"10/04/2023","746.610","766.950","770.500","747.100","","-2.59%"
"10/03/2023","766.450","766.970","798.500","766.950","","0.00%"
"10/02/2023","766.470","769.550","771.025","766.970","","-0.20%"
"09/29/2023","768.000","778.100","781.500","768.800","","-1.23%"
"09/28/2023","777.600","778.100","798.500","778.100","","0.00%"
"09/27/2023","777.600","779.550","781.525","777.800","","-0.19%"
"09/26/2023","779.050","779.550","781.525","779.525","","0.00%"
"09/25/2023","779.050","784.500","784.500","756.960","","1.51%"
"09/22/2023","767.430","767.930","767.930","767.930","","0.00%"
"09/21/2023","767.430","770.770","776.500","767.930","","-0.37%"
"09/20/2023","770.270","775.830","784.500","770.770","","-0.65%"
"09/19/2023","775.330","760.430","789.500","760.430","","2.03%"
"09/18/2023","759.930","768.240","789.500","760.430","","-1.02%"
"09/15/2023","767.740","768.690","789.500","768.240","","-1.95%"
"09/14/2023","783.000","746.680","784.500","746.680","","4.93%"
"09/13/2023","746.180","770.830","770.830","744.500","","-3.14%"
"09/12/2023","770.330","738.040","770.830","738.040","","4.45%"
"09/11/2023","737.540","750.500","755.000","738.040","","-6.52%"
"09/08/2023","789.000","785.030","789.500","785.030","","0.57%"
"09/07/2023","784.530","754.360","785.030","754.360","","4.19%"
"09/06/2023","753.000","761.030","761.030","753.930","","-0.99%"
"09/05/2023","760.530","757.020","765.500","744.500","","0.53%"
"09/04/2023","756.520","757.020","757.020","757.020","","0.00%"
"09/01/2023","756.520","773.500","775.500","738.500","","-2.13%"
"08/31/2023","773.000","773.500","774.500","773.500","","0.00%"
"08/30/2023","773.000","772.470","784.500","740.500","","0.13%"
"08/29/2023","771.970","774.400","774.400","760.500","","-0.25%"
"08/28/2023","773.900","772.340","774.400","771.340","","0.40%"
"08/25/2023","770.840","755.710","774.500","740.500","","2.20%"
"08/24/2023","754.210","756.770","773.500","755.105","","-0.14%"
"08/23/2023","755.270","762.290","762.290","756.770","","-0.73%"
"08/22/2023","760.790","745.140","769.500","745.140","","2.31%"
"08/21/2023","743.640","746.430","769.500","745.140","","-0.17%"
"08/18/2023","744.930","767.970","769.500","746.430","","-2.81%"
"08/17/2023","766.470","785.890","785.890","761.500","","-2.28%"
"08/16/2023","784.390","760.500","785.890","760.500","","3.35%"
"08/15/2023","759.000","766.400","766.400","755.500","","-0.91%"
"08/14/2023","766.000","769.270","770.385","766.400","","-0.23%"
"08/11/2023","767.770","769.270","769.270","769.270","","0.00%"
"08/10/2023","767.770","769.270","769.270","769.270","","0.00%"
"08/09/2023","767.770","762.940","769.270","762.940","","0.83%"
"08/08/2023","761.440","751.120","762.940","751.120","","1.58%"
"08/07/2023","749.620","767.450","787.500","751.120","","-2.13%"
"08/04/2023","765.950","777.500","778.000","767.450","","-1.42%"
"08/03/2023","777.000","776.360","792.500","760.500","","0.00%"
"08/02/2023","777.000","758.520","778.500","752.500","","2.64%"
"08/01/2023","757.020","760.400","771.550","745.500","","-0.25%"
"07/31/2023","758.900","775.780","792.500","759.950","","-1.99%"
"07/28/2023","774.280","775.500","790.000","775.500","","0.04%"
"07/27/2023","774.000","789.420","790.000","764.500","","-1.77%"
"07/26/2023","787.920","793.320","793.320","789.420","","-0.49%"
"07/25/2023","791.820","793.320","793.320","780.500","","0.00%"
"07/24/2023","791.820","776.000","793.410","776.000","","2.24%"
"07/21/2023","774.500","791.010","792.500","775.250","","-1.90%"
"07/20/2023","789.510","782.810","791.500","775.500","","1.05%"
"07/19/2023","781.310","773.310","799.500","773.310","","-0.85%"
"07/18/2023","788.000","776.170","791.300","773.310","","1.72%"
"07/17/2023","774.670","776.500","776.500","775.500","","-0.04%"
"07/14/2023","775.000","777.500","777.500","776.500","","-0.13%"
"07/13/2023","776.000","776.500","799.500","776.500","","0.13%"
